SourceId,Target,DaysSinceLast,LastPayment,DaysSinceLast2,LastPayment2
62c00fbf-39f8-416f-8cbf-58ff13c72352-0011919310,260.77,14,260.77,14,260.77
ec7eb58a-1151-455a-8ad1-44f369972c0f-0009231591,116.31,7,116.31,7,116.31
ec7eb58a-1151-455a-8ad1-44f369972c0f-0009231591,116.31,7,116.31,7,116.31
ec7eb58a-1151-455a-8ad1-44f369972c0f-0009231591,116.31,7,116.31,7,116.31
ec7eb58a-1151-455a-8ad1-44f369972c0f-0009231591,116.31,7,116.31,7,116.31
11308215-d60b-4403-8479-dc3676fe21b3-0012282301,101.42,7,104.42,7,104.42
11308215-d60b-4403-8479-dc3676fe21b3-0012282301,104.42,7,101.42,7,104.42
11308215-d60b-4403-8479-dc3676fe21b3-0012282301,104.42,7,104.42,7,101.42
11308215-d60b-4403-8479-dc3676fe21b3-0012282301,104.42,7,104.42,7,104.42
d38faa9d-9088-45e4-963e-1f9df31448ec-0011756107,224,14,224,14,224
d38faa9d-9088-45e4-963e-1f9df31448ec-0011756107,224,14,224,14,224
e408e4d0-0912-477b-bb80-b824292033dd-0196908871,72.23,7,38.21,8,92.31
e408e4d0-0912-477b-bb80-b824292033dd-0196908871,92.31,6,72.23,7,38.21
6d75a4b8-2531-4266-8fbf-6a97e04d5830-0574075691,52.3,14,48.72,17,209.54
6d75a4b8-2531-4266-8fbf-6a97e04d5830-0574075691,65.2,14,52.3,14,48.72
2a2ef0b0-7599-40ab-a093-058e206a68ab-0012173050,83.31,8,83.31,45,166.03
2a2ef0b0-7599-40ab-a093-058e206a68ab-0012173050,83.31,6,83.31,8,83.31
2a2ef0b0-7599-40ab-a093-058e206a68ab-0012173050,89.77,6,83.31,6,83.31
da5e46a4-c95e-4bb5-b34b-b238117ea039-0011283420,85.94,32,850,22,850
da5e46a4-c95e-4bb5-b34b-b238117ea039-0011283420,88.14,17,85.94,32,850
2ba1325f-19db-44b5-933b-177e1ee4c6cd-0011919310,260.77,14,260.77,14,260.77
2ba1325f-19db-44b5-933b-177e1ee4c6cd-0011919310,260.77,14,260.77,14,260.77
fb94bce0-72e3-4468-afbf-595db8d60e31-N008764963,72.69,5,72.69,6,72.69
fb94bce0-72e3-4468-afbf-595db8d60e31-N008764963,72.69,7,72.69,5,72.69
fb94bce0-72e3-4468-afbf-595db8d60e31-N008764963,72.69,10,72.69,7,72.69
81616e35-9b76-45b5-a410-fa4129d26b38-0010665054,219.23,14,219.23,14,219.23
81616e35-9b76-45b5-a410-fa4129d26b38-0010665054,219.23,14,219.23,14,219.23
80bc3f49-ea3f-47a8-a2b9-14e2833abcf7-0012415390,138,7,138,6,138
80bc3f49-ea3f-47a8-a2b9-14e2833abcf7-0012415390,138,7,138,7,138
80bc3f49-ea3f-47a8-a2b9-14e2833abcf7-0012415390,138,7,138,7,138
80bc3f49-ea3f-47a8-a2b9-14e2833abcf7-0012415390,138,7,138,7,138
8547150c-cdc0-437d-bfb4-dcbaba6e8a0f-2616901491,51.92,8,51.92,13,68
8547150c-cdc0-437d-bfb4-dcbaba6e8a0f-2616901491,51.92,3,51.92,8,51.92
8547150c-cdc0-437d-bfb4-dcbaba6e8a0f-2616901491,51.92,11,51.92,3,51.92
8547150c-cdc0-437d-bfb4-dcbaba6e8a0f-2616901491,44.24,6,51.92,11,51.92
8afcf328-3eb2-4760-92b8-9829b81edc6b-0521480451,79.4,8,82.4,5,82.4
8afcf328-3eb2-4760-92b8-9829b81edc6b-0521480451,82.4,9,79.4,8,82.4
8afcf328-3eb2-4760-92b8-9829b81edc6b-0521480451,82.4,10,82.4,9,79.4
cd645a5b-d657-4d42-bfea-834ef0e06f10-0010421659,138,14,137,14,138
cd645a5b-d657-4d42-bfea-834ef0e06f10-0010421659,137,14,138,14,137
525a913e-a870-41ab-b6e8-0329e58c341b-0012082514,159.23,20,134.23,14,159.23
525a913e-a870-41ab-b6e8-0329e58c341b-0012082514,137.14,8,159.23,20,134.23
d7778253-1f83-4a69-a4c2-4d604d530af1-0009415113,192.92,14,192.92,14,192.92
d7778253-1f83-4a69-a4c2-4d604d530af1-0009415113,192.92,14,192.92,14,192.92
b7dcc746-5913-4ac6-a356-5a782c6bae98-0009983692,90,8,90,6,90
b7dcc746-5913-4ac6-a356-5a782c6bae98-0009983692,90,7,90,8,90
1a44003a-f9bb-48ff-8799-dc088b24963a-0010180494,262.15,14,262.15,14,262.15
1a44003a-f9bb-48ff-8799-dc088b24963a-0010180494,262.15,14,262.15,14,262.15
02ccb113-7371-4bf6-af79-284a68f3cc34-2620240TN1,92.31,7,92.31,7,92.31
02ccb113-7371-4bf6-af79-284a68f3cc34-2620240TN1,184.62,7,92.31,7,92.31
02ccb113-7371-4bf6-af79-284a68f3cc34-2620240TN1,92.31,7,184.62,7,92.31
02ccb113-7371-4bf6-af79-284a68f3cc34-2620240TN1,92.31,7,92.31,7,184.62
3ed6305b-88de-4b53-8409-f9440a144531-0009394276,94.15,7,94.14999,7,94.15
3ed6305b-88de-4b53-8409-f9440a144531-0009394276,94.15,7,94.15,7,94.14999
3ed6305b-88de-4b53-8409-f9440a144531-0009394276,94.15,7,94.15,7,94.15
3ed6305b-88de-4b53-8409-f9440a144531-0009394276,94.14999,7,94.15,7,94.15
50b55139-5838-4c07-a585-12defd881066-0011371520,229.85,14,179.85,14,229.85
50b55139-5838-4c07-a585-12defd881066-0011371520,179.85,14,229.85,14,179.85
2bc68eba-e8af-4af7-9280-71a01676e389-0011510025,24.67,7,34.16,7,46
2bc68eba-e8af-4af7-9280-71a01676e389-0011510025,104.97,7,24.67,7,34.16
2bc68eba-e8af-4af7-9280-71a01676e389-0011510025,37.5,7,104.97,7,24.67
2bc68eba-e8af-4af7-9280-71a01676e389-0011510025,24.39,7,37.5,7,104.97
2bc68eba-e8af-4af7-9280-71a01676e389-0008925214,24.68,7,34.16,7,34.62
